"ProbeID","GeneSymbol"
"11731764_a_at","CD3G"
"11731783_a_at","RASAL3"
"11731818_a_at","CD40"
"11731848_s_at","KLRC1"
"11731879_a_at","NLRP1"
"11731887_at","KIF14"
"11731916_at","KCNA3"
"11731949_a_at","SAMD3"
"11731972_a_at","PTPN22"
"11731993_at","CLECL1"
"11732017_a_at","IL18RAP"
"11732096_at","TIFAB"
"11732169_a_at","PTPN7"
"11732180_a_at","PTAFR"
"11732191_s_at","RAD51AP1"
"11732244_at","APOL6"
"11732275_at","CCL5"
"11732284_x_at","HSH2D"
"11732331_s_at","ARL4C"
"11732418_at","FAM105A"
"11732435_at","C17orf87"
"11732456_a_at","01Mar"
"11732466_a_at","CXCL11"
"11732479_a_at","ITGAM"
"11732531_s_at","N4BP2L1"
"11732533_a_at","LMNB1"
"11732538_at","TBX21"
"11732544_a_at","GPR18"
"11732555_at","FASLG"
"11732661_x_at","STIL"
"11732759_at","GAPT"
"11732813_at","C5orf20"
"11732865_a_at","MS4A4A"
"11732870_a_at","CASP1"
"11732901_a_at","APOBEC3B"
"11732936_a_at","TBC1D2B"
"11732956_a_at","TARP"
"11732962_a_at","RAB33A"
"11732999_a_at","ICAM1"
"11733014_a_at","RNF213"
"11733161_a_at","TNFAIP8"
"11733162_a_at","PSTPIP1"
"11733187_a_at","IL7R"
"11733194_s_at","FMNL3"
"11733198_a_at","DDX39"
"11733213_x_at","SLFN5"
"11733215_a_at","STAT4"
"11733226_x_at","RLTPR"
"11733353_at","CRTAM"
"11733355_x_at","C5AR1"
"11733372_a_at","JAK2"
"11733389_a_at","DEF6"
"11733402_a_at","CLEC7A"
"11733450_a_at","SLFN11"
"11733611_a_at","DOCK8"
"11733620_a_at","BCL11B"
"11733623_at","ZNF831"
"11733642_s_at","NECAP2"
"11733691_a_at","SIGLEC7"
"11733701_a_at","FKBP11"
"11733718_x_at","LAIR2"
"11733736_a_at","CD2"
"11733767_a_at","LILRA2"
"11733841_a_at","EVI2A"
"11733845_at","GRK6"
"11733855_a_at","APOL1"
"11733864_a_at","BIRC5"
"11733868_at","HLADOA"
"11733944_at","RAP2B"
"11733950_at","GBP4"
"11733979_at","CD28"
"11733981_a_at","PDK1"
"11734050_a_at","TRAT1"
"11734063_a_at","CD200R1"
"11734067_a_at","IRAK4"
"11734110_at","TIGIT"
"11734117_a_at","BTN3A3"
"11734125_a_at","NOD1"
"11734139_a_at","TBC1D10C"
"11734394_at","KLRC3"
"11734521_x_at","SCLT1"
"11734567_a_at","RASGRP2"
"11734585_at","KLRC4"
"11734657_s_at","SLC2A14"
"11734689_at","CYTIP"
"11734713_s_at","DBF4"
"11734727_a_at","IL16"
"11734783_at","CLIC2"
"11734852_a_at","C13orf18"
"11734922_x_at","ZNF276"
"11734938_x_at","CSF2RA"
"11734943_a_at","SLAMF6"
"11734967_a_at","THEMIS"
"11735035_a_at","GCET2"
"11735157_at","CYSLTR1"
"11735192_a_at","EMR2"
"11735221_a_at","BTLA"
"11735223_a_at","KLRG1"
"11735249_x_at","SP140L"
"11735258_x_at","IL7"
"11735270_a_at","GCNT1"
"11735324_s_at","FAM72A"
"11735329_a_at","CD47"
"11735394_s_at","XCL1"
"11735474_a_at","CD8B"
"11735492_at","ANKRD44"
"11735504_a_at","NLRC4"
"11735552_at","FCRL6"
"11735584_x_at","BRCA1"
"11735589_at","PTGDR"
"11735710_s_at","SAMSN1"
"11735741_s_at","RASA3"
"11735767_at","C16orf54"
"11735937_a_at","CD48"
"11735989_s_at","IGJ"
"11736065_x_at","P2RX7"
"11736207_a_at","PLXNC1"
"11736217_at","MAP3K8"
"11736249_x_at","KIAA0101"
"11736255_a_at","INPP4A"
"11736273_a_at","TLR2"
"11736299_at","LPAR5"
"11736311_x_at","FCGR1A"
"11736324_x_at","CD96"
"11736457_at","KCNK6"
"11736526_a_at","CARD9"
"11736551_x_at","REL"
"11736596_s_at","GINS4"
"11736632_at","APOBEC3H"
"11736761_at","CARD16"
"11736813_at","PDCD1LG2"
"11736984_a_at","UBASH3A"
