"ProbeID","GeneSymbol"
"11728776_s_at","VDR"
"11728792_x_at","EEF2K"
"11728810_a_at","ECHDC3"
"11728834_x_at","C4orf32"
"11728852_a_at","TUB"
"11728884_a_at","TM6SF1"
"11728897_x_at","FBXO17"
"11728948_at","BCMO1"
"11728953_a_at","GPR98"
"11728981_at","C8orf47"
"11729008_at","MYLK4"
"11729048_a_at","ANXA9"
"11729049_at","SLC10A2"
"11729055_at","SLC28A1"
"11729057_at","C19orf69"
"11729074_a_at","AGPHD1"
"11729137_at","UGT2B7"
"11729169_a_at","DUSP10"
"11729220_at","CMBL"
"11729236_at","MCCC2"
"11729300_a_at","GLYAT"
"11729316_a_at","ISOC2"
"11729336_a_at","ALPL"
"11729353_a_at","LNPEP"
"11729354_a_at","ZNF200"
"11729360_a_at","DIO1"
"11729411_x_at","AKR7A3"
"11729450_at","PCLO"
"11729453_s_at","CYP2B6"
"11729552_a_at","SLC5A9"
"11729574_at","ENC1"
"11729596_a_at","DAK"
"11729680_a_at","KHK"
"11729681_a_at","PHYH"
"11729723_a_at","UGT3A2"
"11729734_a_at","VIL1"
"11729740_a_at","FAM151A"
"11729744_a_at","SLC39A5"
"11729799_at","MTTP"
"11729866_a_at","UGT3A1"
"11729885_at","C18orf54"
"11729922_a_at","RENBP"
"11729954_a_at","FHIT"
"11729967_a_at","CLYBL"
"11729980_a_at","PLCXD3"
"11730000_a_at","COLEC11"
"11730020_a_at","ACSM2A"
"11730034_at","CDHR2"
"11730035_at","FMO4"
"11730058_at","HNF4A"
"11730072_at","CNTN3"
"11730093_a_at","FTCD"
"11730104_a_at","PKLR"
"11730150_at","ENPP7"
"11730157_at","CYP8B1"
"11730162_s_at","LOC653562"
"11730170_a_at","GPX3"
"11730182_a_at","SH3GL2"
"11730199_a_at","AHCY"
"11730200_a_at","ALAD"
"11730225_a_at","POLDIP2"
"11730237_at","ABHD10"
"11730264_a_at","FAM83D"
"11730409_at","ABCC2"
"11730448_a_at","DHRS12"
"11730454_at","GLYCTK"
"11730487_at","DOK6"
"11730536_at","CHST13"
"11730578_at","ADM2"
"11730593_at","SLC16A12"
"11730600_s_at","AQP7"
"11730608_at","HNF4G"
"11730630_at","WDR72"
"11730667_x_at","PPP1R14D"
"11730726_s_at","AGT"
"11730775_x_at","CFDP1"
"11730796_x_at","PSPH"
"11730826_x_at","TMEM106A"
"11730839_at","NUDT16"
"11730907_a_at","ABCB1"
"11730931_at","ACSS3"
"11730971_a_at","CYP4F12"
"11730973_a_at","CA4"
"11730979_at","AFM"
"11731013_a_at","SYN2"
"11731032_at","MSH3"
"11731068_s_at","FIGNL1"
"11731069_a_at","NIT1"
"11731082_at","RNF144B"
"11731089_a_at","DDT"
"11731099_a_at","C6orf108"
"11731118_x_at","PLEKHA8"
"11731124_at","FBXO36"
"11731129_x_at","ATPIF1"
"11731136_a_at","NCKAP5"
"11731151_a_at","LIX1L"
"11731174_s_at","CNNM2"
"11731179_s_at","ESPN"
"11731197_a_at","PRR5L"
"11731212_x_at","GGT6"
"11731270_a_at","MGAM"
"11731336_x_at","TRPV1"
"11731361_a_at","TREH"
"11731413_at","GALM"
"11731428_a_at","CYP3A4"
"11731430_a_at","CYP27A1"
"11731434_s_at","MRPL34"
"11731674_a_at","AGMAT"
"11731678_s_at","FAM20C"
"11731680_a_at","NOX4"
"11731684_at","RIF1"
"11731722_a_at","ALDH3B1"
"11731733_a_at","SLC17A1"
"11731766_at","SETD3"
"11731768_x_at","ARSB"
"11731772_at","KIAA1161"
"11731798_a_at","LGALS2"
"11731830_a_at","DHDPSL"
"11731832_x_at","DDO"
"11731833_a_at","AK3L1"
"11731857_x_at","MT1H"
"11731874_x_at","CTAGE5"
"11731883_a_at","CCDC150"
"11731926_a_at","TRPM3"
"11731951_at","B3GNT4"
"11731984_at","CERKL"
"11732033_at","NAT8B"
"11732078_a_at","FAM176A"
"11732084_a_at","TFEC"
"11732085_a_at","SLC13A2"
"11732111_a_at","TNFRSF21"
"11732147_a_at","CAT"
"11732206_a_at","NAP1L1"
"11732220_a_at","DCI"
"11732236_a_at","GYPA"
"11732263_a_at","RAB11FIP3"
"11732271_at","ANGPTL3"
"11732326_x_at","PBLD"
"11732335_at","SLC31A1"
"11732376_a_at","TBC1D19"
"11732432_a_at","GK"
"11732453_s_at","HGD"
"11732454_at","KCNJ15"
"11732492_at","KIAA1549"
"11732516_a_at","LASS4"
"11732644_a_at","SYT6"
"11732668_a_at","APITD1"
"11732669_x_at","CORT"
"11732768_at","RNF152"
"11732795_at","TMEM184A"
"11732797_x_at","KIAA1841"
"11732815_at","CPN2"
"11732827_a_at","RNLS"
"11732863_at","OXER1"
"11732895_a_at","SLC7A13"
"11732905_a_at","CABLES1"
"11732978_x_at","ALB"
"11733071_a_at","SLC3A2"
"11733086_a_at","MAF"
"11733093_a_at","FOXRED2"
"11733102_at","POLD3"
"11733170_a_at","FBXO45"
"11733228_at","DNMT3L"
"11733243_a_at","GABRB2"
"11733248_a_at","DBNDD2"
"11733276_a_at","SLC2A2"
"11733297_at","CYP4F3"
"11733414_a_at","TTC36"
"11733477_at","SUCNR1"
"11733513_a_at","WLS"
"11733522_a_at","RUNDC3B"
"11733535_a_at","NUDT7"
"11733578_a_at","SLC34A1"
"11733596_x_at","C12orf59"
"11733686_a_at","STRA6"
"11733703_x_at","C10orf140"
"11733742_a_at","DCXR"
"11733795_a_at","STX7"
"11733801_s_at","CPPED1"
"11733804_at","AMN"
"11733822_at","AGPAT3"
"11733844_a_at","AMACR"
"11733969_a_at","SHMT1"
"11733984_at","SLC5A8"
"11734004_x_at","TMEM192"
"11734084_a_at","SUSD3"
"11734086_a_at","GALE"
"11734177_a_at","SLC2A9"
"11734235_a_at","PLA2G12B"
"11734246_a_at","SLC5A11"
"11734275_at","HNF1A"
"11734324_at","PAQR7"
"11734335_a_at","LOC100294402"
"11734345_a_at","TRIM10"
"11734373_a_at","CSPP1"
"11734478_at","C9orf71"
"11734505_a_at","ASPDH"
"11734644_a_at","PWWP2B"
"11734733_a_at","SLC13A3"
"11734749_x_at","LIN52"
"11734777_a_at","PCTP"
"11734901_a_at","CYP4V2"
"11734932_at","F11"
"11734939_a_at","SLC16A9"
"11734959_at","TRHDE"
"11734973_at","L2HGDH"
"11735086_x_at","CUBN"
"11735110_at","FBXO3"
"11735198_at","FAM104B"
"11735234_a_at","SLC38A5"
"11735250_a_at","HECW1"
"11735297_at","C9orf66"
"11735383_s_at","C18orf1"
"11735437_a_at","NRXN2"
"11735490_a_at","EMX1"
"11735495_at","C11orf63"
"11735511_x_at","PHTF2"
"11735547_at","SLC36A2"
"11735549_at","ASB15"
"11735583_a_at","NIN"
"11735600_x_at","AKR7L"
"11735617_a_at","SLC5A10"
"11735622_a_at","TM6SF2"
"11735642_at","FAM132A"
"11735686_a_at","ADH6"
"11735873_a_at","FGFR4"
"11735905_x_at","PNPLA1"
"11735911_a_at","WDFY3"
"11736047_a_at","ANTXR2"
"11736058_s_at","C10orf32"
"11736073_a_at","ALDH1B1"
"11736154_a_at","XPR1"
"11736164_a_at","CNDP1"
"11736227_a_at","C16orf87"
"11736233_s_at","PTER"
"11736257_at","PRKCE"
"11736330_a_at","SLC2A11"
"11736387_a_at","ABAT"
"11736406_a_at","XYLB"
"11736468_at","SLC35D1"
"11736570_a_at","SLC39A14"
"11736575_x_at","GPR155"
"11736619_a_at","ALDH5A1"
"11736655_a_at","PTGR1"
"11736658_a_at","MAP3K13"
"11736778_a_at","TCL6"
"11736800_a_at","PDE10A"
"11736814_at","GIPC2"
"11736837_a_at","TPCN2"
"11736852_at","LRRC19"
"11736909_at","C1orf210"
"11736929_at","G6PC"
"11737047_x_at","KCNH6"
"11737053_s_at","HSPD1"
"11737142_at","LIPT2"
"11737145_s_at","SH3YL1"
"11737178_s_at","SLC25A21"
"11737182_at","SLC22A13"
"11737225_a_at","MAST4"
"11737257_at","ANKS4B"
"11737294_a_at","TMIGD1"
"11737344_at","SLC13A1"
"11737421_at","ANKRD56"
"11737448_x_at","DNAJC22"
"11737522_a_at","PDZD3"
"11737534_s_at","CIDEB"
"11737547_a_at","CDH9"
"11737586_a_at","ACOT11"
"11737602_a_at","NLGN1"
"11737644_a_at","RNF183"
"11737751_x_at","C10orf57"
"11737884_at","TMEM82"
"11737946_a_at","XPNPEP2"
"11737948_a_at","C5"
"11737965_at","MIA2"
"11738127_x_at","SARDH"
"11738143_x_at","SSX2IP"
"11738213_a_at","SLC17A3"
"11738300_at","MCCD1"
"11738558_a_at","PROZ"
"11738808_a_at","OSBPL10"
"11738998_a_at","ZDHHC9"
"11739112_a_at","GRPEL1"
"11739155_s_at","FAM129A"
"11739162_a_at","ALDOB"
"11739202_a_at","ATP5G3"
"11739300_a_at","CISD3"
"11739353_a_at","CHDH"
"11739426_a_at","GPD2"
"11739545_s_at","NEDD1"
"11739573_s_at","ZNF532"
"11739593_a_at","USH1C"
"11739600_s_at","AASS"
"11739610_a_at","CALML4"
"11739620_at","C10orf72"
"11739642_a_at","STXBP5"
"11739766_at","PNPLA3"
"11739854_s_at","LYRM1"
"11739913_a_at","CRADD"
"11739942_s_at","SEPSECS"
"11739950_a_at","CASC5"
"11739951_a_at","GFOD1"
"11739994_x_at","TMEM25"
"11740075_at","DMGDH"
"11740082_at","TMEM195"
"11740170_s_at","ARHGAP42"
"11740277_at","ACOT12"
"11740291_x_at","CYP4A11"
"11740307_at","SLC5A12"
"11740334_at","TUBAL3"
"11740385_x_at","C12orf72"
"11740438_a_at","FUT6"
"11740481_x_at","PAQR5"
"11740540_a_at","REV3L"
"11740657_a_at","SLC22A5"
"11740685_s_at","NAPEPLD"
"11740730_a_at","C10orf125"
"11740782_a_at","RNF128"
"11740989_a_at","HYAL1"
"11741006_s_at","LOC727726"
"11741037_a_at","GPR89A"
"11741065_a_at","EPHX1"
"11741075_a_at","GALNT11"
"11741115_s_at","CYP3A7"
"11741178_a_at","UPB1"
"11741192_a_at","RBKS"
"11741396_s_at","GGT1"
"11741479_a_at","PSAT1"
"11741499_x_at","HPGD"
"11741574_s_at","AP1AR"
"11741578_a_at","SLC30A2"
"11741691_s_at","GPR89B"
"11742040_a_at","KIAA1543"
"11742095_a_at","SCLY"
"11742115_a_at","GLYATL1"
"11742209_a_at","PDE8A"
"11742278_a_at","CTH"
"11742289_a_at","GABRR3"
"11742480_a_at","GCDH"
"11742725_s_at","ELF2"
"11742728_x_at","SNX5"
"11742739_a_at","MIOX"
"11742779_a_at","HIBCH"
"11742823_a_at","LACTB2"
"11742888_s_at","GCSH"
"11742893_at","HBXIP"
"11742913_a_at","GLOD5"
"11742917_a_at","FCAMR"
"11742926_at","CPT2"
"11742961_s_at","FAM43A"
"11742973_at","ACAT1"
"11743011_a_at","GPR137B"
"11743014_a_at","DIP2C"
"11743048_s_at","ACO2"
"11743084_s_at","BNIP3"
"11743093_a_at","LIN7A"
"11743100_a_at","ENO2"
"11743125_a_at","CRYAA"
"11743131_a_at","APEH"
"11743151_a_at","GLS"
"11743276_s_at","STAG1"
"11743369_s_at","PPP1R2"
